City, Country,Continent,Population (2024),Population (2023),Growth Rate
Ansan,South Korea,Asia,768822,766703,0.0028
Huaibei,China,Asia,1264856,1236271,0.0231
Panama City,Panama,North America,2015735,1976866,0.0197
Baoding,China,Asia,2149703,2107539,0.02
Luzhou,China,Asia,870714,857683,0.0152
Paris,France,Europe,11276701,11208440,0.0061
Jaipur,India,Asia,4308510,4207084,0.0241
Changzhou,China,Asia,4085502,3981658,0.0261
Meerut,India,Asia,1835403,1797805,0.0209
Durban,South Africa,Africa,3262128,3228003,0.0106
Bangalore,India,Asia,14008262,13607800,0.0294
Xinyu,China,Asia,979303,952278,0.0284
Amman,Jordan,Asia,2252688,2232240,0.0092
Tunis,Tunisia,Africa,2510673,2475446,0.0142
Casablanca,Morocco,Africa,3950408,3892837,0.0148
Nizhniy Novgorod,Russia,Asia,1250302,1251332,-0.0008
Hong Kong,Hong Kong,Asia,7725859,7684801,0.0053
Lisbon,Portugal,Europe,3014607,3000536,0.0047
Xiaogan,China,Asia,869479,849580,0.0234
Kaifeng,China,Asia,1434463,1398262,0.0259
Zigong,China,Asia,779684,768075,0.0151
Nashik,India,Asia,2294299,2237369,0.0254
Berlin,Germany,Europe,3576873,3573938,0.0008
Culiacan,Mexico,North America,903910,888620,0.0172
Bogra,Bangladesh,Asia,944877,905814,0.0431
Hyderabad,Pakistan,Asia,2011964,1967684,0.0225
Pretoria,South Africa,Africa,2889899,2818100,0.0255
Osaka,Japan,Asia,18967459,19013434,-0.0024
Bikaner,India,Asia,835802,818566,0.0211
Belo Horizonte,Brazil,South America,6300409,6247889,0.0084
Da Nang,Vietnam,Asia,1253228,1220634,0.0267
Fushun Liaoning,China,Asia,1317276,1304565,0.0097
Antipolo,Philippines,Asia,968288,946653,0.0229
Cherthala,India,Asia,901820,870465,0.036
Lima,Peru,South America,11361938,11204382,0.0141
Toluca De Lerdo,Mexico,North America,2674336,2626368,0.0183
Langfang,China,Asia,827967,807833,0.0249
Jiaozuo,China,Asia,808079,796509,0.0145
Misratah,Libya,Africa,1011119,984193,0.0274
Kano,Nigeria,Africa,4490734,4348481,0.0327
Dasmarinas,Philippines,Asia,820886,802600,0.0228
Jinhua,China,Asia,1296065,1257941,0.0303
West Yorkshire,United Kingdom,Europe,1942470,1928661,0.0072
Mogadishu,Somalia,Africa,2726815,2610483,0.0446
Valparaiso,Chile,South America,1016585,1008599,0.0079
Zhumadian,China,Asia,829361,804537,0.0309
Baishan,China,Asia,956976,927532,0.0317
Conakry,Guinea,Africa,2178596,2110937,0.0321
Dongguan,China,Asia,7675146,7587049,0.0116
Bishkek,Kyrgyzstan,Asia,1127721,1104742,0.0208
Cologne,Germany,Europe,1149014,1143715,0.0046
Port Au Prince,Haiti,North America,3060169,2987455,0.0243
Shanghai,China,Asia,29867918,29210808,0.0225
Wuhan,China,Asia,8850850,8718250,0.0152
Nakhon Ratchasima,Thailand,Asia,811446,801853,0.012
Ikorodu,Nigeria,Africa,1145224,1093308,0.0475
Gujranwala,Pakistan,Asia,2479058,2415416,0.0263
Tasikmalaya,Indonesia,Asia,1258124,1213778,0.0365
Ma'anshan,China,Asia,1140264,1112680,0.0248
Matola,Mozambique,Africa,1915035,1852405,0.0338
Rawalpindi,Pakistan,Asia,2430388,2377325,0.0223
Alexandria,Egypt,Africa,5696131,5588477,0.0193
Kazan,Russia,Asia,1296232,1291884,0.0034
Hanoi,Vietnam,Asia,5431801,5253385,0.034
Lubumbashi,DR Congo,Africa,2933962,2811959,0.0434
Liupanshui,China,Asia,1272872,1230644,0.0343
Tengzhou,China,Asia,1360779,1322916,0.0286
Visakhapatnam,India,Asia,2385110,2330928,0.0232
West Rand,South Africa,Africa,947734,934341,0.0143
Tampico,Mexico,North America,1062567,1047251,0.0146
Jieyang,China,Asia,1320779,1282479,0.0299
New Taipei,Taiwan,Asia,4534877,4504147,0.0068
Muzaffarnagar,India,Asia,814491,791214,0.0294
Ribeirao Preto,Brazil,South America,750174,742115,0.0109
Bogota,Colombia,South America,11658211,11507960,0.0131
Depok,Indonesia,Asia,3133298,3041229,0.0303
Rio De Janeiro,Brazil,South America,13824347,13727720,0.007
Makassar,Indonesia,Asia,1704930,1673094,0.019
Cagayan De Oro City,Philippines,Asia,820297,803194,0.0213
Kannur,India,Asia,2405664,2346137,0.0254
Sekondi Takoradi,Ghana,Africa,1119534,1077929,0.0386
Huambo,Angola,Africa,751297,727641,0.0325
Jiangyin,China,Asia,959250,933395,0.0277
